0 + 1387i, 0 + 2047i, 0 + 4371i, 0 + 8911i, 0 + 13747i, 0 + 14491i, 0 + 19951i, 0 + 42799i, 0 + 60787i, 0 + 90751i
1 + 216i, 4 + 33i, 6 + 89i, 7 + 204i, 8 + 49i, 8 + 63i, 8 + 129i, 9 + 32i, 10 + 51i, 10 + 171i
12 + 31i, 12 + 65i, 12 + 289i, 15 + 136i, 15 + 292i, 16 + 47i, 16 + 255i, 19 + 54i, 20 + 63i, 20 + 89i
20 + 301i, 21 + 170i, 21 + 176i, 23 + 24i, 23 + 44i, 24 + 23i, 24 + 127i, 24 + 151i, 26 + 45i, 26 + 51i
26 + 245i, 28 + 41i, 28 + 57i, 28 + 99i, 31 + 12i, 32 + 9i, 33 + 4i, 33 + 184i, 36 + 287i, 37 + 96i
40 + 299i, 41 + 28i, 44 + 23i, 44 + 93i, 45 + 26i, 45 + 172i, 46 + 165i, 47 + 16i, 47 + 182i, 48 + 91i
48 + 269i, 49 + 8i, 51 + 10i, 51 + 26i, 54 + 19i, 54 + 71i, 54 + 215i, 57 + 28i, 57 + 116i, 57 + 196i
63 + 8i, 63 + 20i, 63 + 176i, 64 + 65i, 65 + 12i, 65 + 64i, 71 + 54i, 71 + 108i, 71 + 204i, 71 + 210i
72 + 191i, 74 + 235i, 75 + 154i, 80 + 111i, 81 + 286i, 84 + 167i, 84 + 199i, 89 + 6i, 89 + 20i, 91 + 48i
93 + 44i, 96 + 37i, 96 + 119i, 96 + 149i, 99 + 28i, 100 + 147i, 103 + 156i, 108 + 71i, 108 + 251i, 111 + 80i
116 + 57i, 119 + 96i, 122 + 143i, 123 + 244i, 124 + 275i, 127 + 24i, 128 + 159i, 129 + 8i, 136 + 15i, 136 + 237i
143 + 122i, 144 + 161i, 147 + 100i, 149 + 96i, 150 + 241i, 151 + 24i, 154 + 75i, 156 + 103i, 159 + 128i, 159 + 200i
161 + 144i, 165 + 46i, 167 + 84i, 167 + 240i, 170 + 21i, 171 + 10i, 172 + 45i, 174 + 241i, 176 + 21i, 176 + 63i
176 + 245i, 182 + 47i, 183 + 224i, 184 + 33i, 191 + 72i, 191 + 210i, 196 + 57i, 199 + 84i, 200 + 159i, 201 + 208i
204 + 7i, 204 + 71i, 208 + 201i, 210 + 71i, 210 + 191i, 215 + 54i, 216 + 1i, 224 + 183i, 235 + 74i, 237 + 136i
240 + 167i, 241 + 150i, 241 + 174i, 244 + 123i, 245 + 26i, 245 + 176i, 251 + 108i, 255 + 16i, 269 + 48i, 275 + 124i
286 + 81i, 287 + 36i, 289 + 12i, 292 + 15i, 299 + 40i, 301 + 20i, 1387 + 0i, 2047 + 0i, 4371 + 0i, 8911 + 0i
13747 + 0i, 14491 + 0i, 19951 + 0i, 42799 + 0i, 60787 + 0i, 90751 + 0i, 
